town,distance_from_central
ANG MO KIO,10.45663041878949
BEDOK,0.5641879774488213
BISHAN,11.63864379689068
BUKIT BATOK,20.818971755055173
BUKIT MERAH,13.779882045656764
BUKIT PANJANG,19.748486405122883
BUKIT TIMAH,17.461660099153445
CENTRAL,0.0
CHOA CHU KANG,21.642589759021863
CLEMENTI,18.411648938876713
GEYLANG,6.4799430691129745
HOUGANG,8.17980439792671
JURONG EAST,22.136919390472528
JURONG WEST,23.73034423483882
KALLANG,6.702206533658488
MARINE PARADE,3.8788055615178383
PASIR RIS,7.194216807485189
PUNGGOL,7.880891629646758
QUEENSTOWN,14.188692174678605
SEMBAWANG,16.263155628493365
SENGKANG,8.439357861681742
SERANGOON,8.8485412790417
TAMPINES,3.8111881825454086
TOA PAYOH,10.039235305324958
WOODLANDS,18.68454992529419
YISHUN,15.851186945219164
